,track,title,polarity
0,1,The Old West,0.15555555555555556
1,2,Where Zero Meets 15,-0.10067340067340069
2,3,Cool Enough for You,0.06575757575757575
3,4,Anthem,0.04212962962962963
4,5,Faking Life,-0.030208333333333327
5,6,Shut Up,0.0
6,7,Arnold & Willis & Mr. Drumond,-0.010225563909774433
7,8,I Feel Lucky,0.11187499999999999
8,9,Milestone,0.02619047619047618
9,10,Beautiful America,0.3002411873840446
10,11,Combat Chuck,0.11999999999999998
11,12,Amalgamate,0.1993827160493827
12,13,Everywhere I Go,0.21944444444444447
13,14,A Flowery Song,0.2580409356725146
14,15,Third Word Think Tank,0.06943027210884355
15,16,Hidden Track - Combat Chuck's Answering Machine Message,0.24821428571428572
16,17,Hidden Track - Bluah,0.0
17,18,Handbook for the Sellout,0.09428571428571428
18,19,Where Is Micah?,0.11818181818181817
19,20,Superpowers,0.21862745098039216
20,21,Fistful of Sand,-0.16726190476190478
21,22,Suckerpunch,0.1411111111111111
22,23,Kitty Doggy,0.41233766233766234
23,24,Blue Comb '78,0.038899868247694334
24,25,Banner Year,-0.06822344322344323
25,26,Second Season,0.05094086021505376
26,27,Litmus,-0.0022727272727272848
27,28,"Oh, Canada",0.25673076923076926
28,29,Most Likely to Succeed,0.18629032258064515
29,30,Every New Day,0.20503427128427135
30,31,Hidden Track - The Godzilla Song,0.2
31,32,My Evil Plan to Save the World,-0.17016908212560386
32,33,All That Is Good,-0.075
33,34,Dandelions,0.34394409937888204
34,35,One Girl Army,0.20661375661375658
35,36,Sweet Talkin' Woman,-0.10709876543209881
36,37,When I Go Out,0.0
37,38,Get Your Riot Gear,-0.11349206349206353
38,39,The Untimely Death of Brad,-0.1371666666666667
39,40,These Are Not My Pants (The Rock Opera) [Latin],0.13341836734693877
40,41,These Are Not My Pants (The Rock Opera) [Piano],0.10714285714285714
41,42,These Are Not My Pants (The Rock Opera) [Country],0.5
42,43,These Are Not My Pants (The Rock Opera) [Rock],0.0
43,44,These Are Not My Pants (The Rock Opera) [Jazz],-0.23333333333333336
44,45,These Are Not My Pants (The Rock Opera) [Reggae],0.2857142857142857
45,46,These Are Not My Pants (The Rock Opera) [Weird],0.0
46,47,These Are Not My Pants (The Rock Opera) [Rap],-0.21536768353174607
47,48,When I Go Out / Kingdom of the Dinosaurs,0.061309523809523814
48,49,Introduction,0.5166666666666667
49,50,One Girl Army,0.22863408521303255
50,51,"Oh, Canada",0.25673076923076926
51,52,A Flowery Song,0.2001157407407407
52,53,Handbook for the Sellout,0.09503105590062111
53,54,Receive Him,0.48333333333333334
54,55,All That Is Good,-0.11041666666666666
55,56,Dandelions,0.3368506493506494
56,57,Suckerpunch,0.16435606060606056
57,58,It's Not Unusual,0.014285714285714277
58,59,Anthem,-0.010173494201271959
59,60,A New Hope,0.06438311688311686
60,61,Arnold & Willis & Mr. Drumon,-0.002896103896103894
61,62,Ugly Day,-0.08484114265364269
62,63,Where Zero Meet 15,0.018662818662818652
63,64,Superpowers,0.18456349206349207
64,65,Blue Comb '78,0.01916883116883116
65,66,Every new Day,0.246695745332109
66,67,Hidden Track - Show Bloopers,0.10692299983966652
67,68,What's Up,0.0
68,69,The Greatest Story Ever Told,0.5117483660130719
69,70,Me Oh My,0.36567460317460315
70,71,Solidarity,0.36574074074074076
71,72,The Phantom Mullet,0.037209302325581395
72,73,Ugly Day,-0.3998619737750173
73,74,Fahrenheit,-0.1853395061728395
74,75,Four-Fifty-One,-0.08457142857142858
75,76,You Probably Shouldn't Move Here,-0.1612427662037037
76,77,Hurricanes,-0.17424242424242428
77,78,Giants,-0.15277777777777782
78,79,I Still Like Larry,0.15
79,80,All the Hype,0.12029761904761908
80,81,It's Not Unusual,0.048749999999999995
81,82,A New Hope,0.03679653679653679
82,83,World Without End,0.30606060606060603
83,84,Pre-Ex-Girlfriend,0.0037037037037036904
84,85,"Far, Far Away",0.030350301039956205
85,86,You Can't Handle This,0.4333333333333334
86,87,Farsighted,0.28809523809523807
87,88,Spartan,-0.021127946127946134
88,89,The Day We Killed,-0.13838383838383841
89,90,Juggernaut,-0.02013888888888889
90,91,Plan B,0.47263888888888894
91,92,Blue Mix,0.08596491228070174
92,93,Vultures,0.1474063212772891
93,94,Car,0.08898809523809524
94,95,Eulogy,-0.08333333333333333
95,96,Kamikaze,0.01875
96,97,Rhubarb Pie,0.26281746031746034
97,98,Marty,-0.18509424603174604
98,99,Fistful of Sand (Live),0.010795454545454532
99,100,Four Kids in Memphis,0.25
100,101,Mind for Treason,-0.006249999999999999
101,102,Cool Enough for You (Demo),0.06802507836990594
102,103,Third World Think Tank (Demo),0.060139573070607556
103,104,The Old West (Demo),0.15555555555555556
104,105,Burn,0.26495098039215687
105,106,Left,0.07030303030303028
106,107,Never Ask Us to Play This,0.0
107,108,Dog Food,0.3925535929951691
108,109,When I See Her Face,0.2892857142857143
109,110,Abraham Lincoln Beard (First Movement),0.0
110,111,Praise the Lord,0.0
111,112,Give Me Back My Sandwich,0.0
112,113,Omnivores for Mediocrity,-0.14333333333333334
113,114,That Tastes Horrible,-1.0
114,115,No Grandma = Know Grandma,0.0
115,116,Stinky Hippy,0.0
116,117,Abraham Lincoln Beard (Second Movement),0.0
117,118,It's So Hot (I'm Gonna Have a Heat Stroke),0.384765625
118,119,Thea and the Singing Telegram,0.0
119,120,How's About Some Milk,0.0
120,121,Donkey Basketball,1.0
121,122,Screams in the Night,0.12
122,123,Pootermobile,0.0
123,124,Abraham Lincoln Beard (Third Movement),0.2
124,125,Mayonnaise Taco Monday,1.0
125,126,Chew Water,-0.3333333333333333
126,127,Metal Rules!,0.0
127,128,Five Iron Is Stupid,-0.9999999999999999
128,129,Hidden Track - Vocal Warmup,0.012820512820512811
129,130,Cannonball,0.002518978605935114
130,131,At Least I'm Not Like All Those Other Old Guys,0.0879323308270677
131,132,"So Far, So Bad",-0.1259615384615384
132,133,New Years Eve,0.023369696969696957
133,134,American Kryptonite,0.1258116883116883
134,135,It Was Beautiful,0.4507331378299119
135,136,"Wizard Needs Food, Badly",-0.14157483930211204
136,137,Farewell To Arms,-0.380701754385965
137,138,See the Flames Begin to Crawl,-0.14982858728479456
